,chapter_label,954976,984094,98979,454648,125366,808297,83304,559183,7988,18352,724406,483461,940895,8802,563427,35963,692604,688075
0,1.100 Unit1-Getting-Started/topic-1-1-getting-started (0), , , , , , , , , , , , , , , , , , 
1,1.101 Unit1-Getting-Started/preface (0), , , , , , , , , , , , , , , , , , 
2,1.102 Unit1-Getting-Started/aboutcsa (0), , , , , , , , , , , , , , , , , , 
3,1.103 Unit1-Getting-Started/csptransition (0), , , , , , , , , , , , , , , , , , 
4,1.104 Unit1-Getting-Started/javaIDEs (0), , , , , , , , , , , , , , , , , , 
5,1.105 Unit1-Getting-Started/growthMindset (2), , , , , , , , , , , ,2.0, , , , , , 
6,1.106 Unit1-Getting-Started/ptest1 (20), , , ,20.0, , , , , , , , , , , , , , 
7,1.107 Unit1-Getting-Started/survey (11), , , ,11.0, , , , , , , ,11.0, , , , , , 
8,1.200 Unit1-Getting-Started/topic-1-2-java-intro (12),12.0,10.0, ,10.0, , ,12.0,10.0,10.0,12.0, ,12.0, ,12.0, ,10.0, ,2.0
9,1.300 Unit1-Getting-Started/topic-1-3-variables (20),6.0,18.0,5.0, ,1.0, ,20.0,19.0,19.0,20.0,19.0,20.0, ,20.0, ,20.0,19.0, 
10,1.400 Unit1-Getting-Started/topic-1-4-assignment (13),11.0,2.0, , , , ,12.0,13.0,11.0,12.0,10.0,13.0, ,12.0, ,12.0, ,1.0
11,1.500 Unit1-Getting-Started/topic-1-5-shortcutoperators (4),4.0,3.0, , , , , ,4.0,4.0,4.0, ,4.0, ,4.0, ,4.0, , 
12,1.600 Unit1-Getting-Started/topic-1-6-casting (9), ,5.0, , , , , , , ,9.0, ,6.0, ,9.0, ,9.0, , 
13,1.700 Unit1-Getting-Started/topic-1-7-summary (2),2.0,2.0,2.0,2.0, , ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
14,1.800 Unit1-Getting-Started/topic-1-8-practice-mixed-code (14),14.0,10.0,14.0, , , ,10.0,14.0,4.0,14.0,14.0,6.0, ,14.0,14.0,14.0,14.0,3.0
15,1.900 Unit1-Getting-Started/topic-1-8-practice-mixed-code-toggle (14), ,1.0, , , , , , , , ,1.0, , , ,4.0, , , 
16,1.1000 Unit1-Getting-Started/topic-1-9-practice-coding (32),18.0, ,17.0, , , , ,18.0, ,16.0,16.0, , ,16.0,4.0,16.0,16.0,2.0
17,1.1100 Unit1-Getting-Started/Exercises (8),8.0,7.0,8.0, , , , ,8.0, ,8.0,8.0, , ,8.0,8.0,8.0,8.0, 
18,2.100 Unit2-Using-Objects/topic-2-1-objects-intro-turtles (19),19.0,12.0,13.0,16.0, , ,7.0,10.0,14.0,16.0,16.0, , ,19.0,11.0,16.0,16.0,5.0
19,2.200 Unit2-Using-Objects/topic-2-2-constructors (15),15.0,13.0,12.0,14.0, ,2.0, , , ,14.0,14.0, , ,15.0,10.0,15.0,14.0,2.0
20,2.300 Unit2-Using-Objects/topic-2-3-methods-no-params (9), , ,8.0,2.0, , , , ,8.0,9.0, , , ,9.0,2.0,9.0, , 
21,2.400 Unit2-Using-Objects/topic-2-4-methods-with-params (9), , ,7.0, , , , , ,7.0, ,9.0, , ,9.0,1.0,9.0, , 
22,2.500 Unit2-Using-Objects/topic-2-5-methods-return (7), , ,5.0,3.0, , , , ,7.0, , , , ,7.0, ,7.0, , 
23,2.600 Unit2-Using-Objects/topic-2-6-strings (8),8.0,6.0,6.0, , , ,3.0, ,8.0,8.0, ,2.0, ,8.0, ,8.0, ,6.0
24,2.700 Unit2-Using-Objects/topic-2-7-string-methods (14),14.0,11.0,11.0, , , , , ,14.0,14.0,14.0, , ,14.0, ,14.0,14.0,3.0
25,2.800 Unit2-Using-Objects/topic-2-8-IntegerDouble (4), ,4.0,3.0, , , , , ,4.0,4.0, , , ,4.0, ,4.0, ,4.0
26,2.900 Unit2-Using-Objects/topic-2-9-Math (9), ,9.0,7.0, , , , , ,9.0,7.0,9.0, , ,9.0, ,9.0,9.0,2.0
27,2.1000 Unit2-Using-Objects/topic-2-10-summary (1), ,1.0,1.0, , , , , , , ,1.0, , ,1.0, ,1.0,1.0, 
28,2.1100 Unit2-Using-Objects/topic-2-11-practice-mixed-code (6), , ,5.0, , , , , , , ,6.0, , ,6.0, ,6.0,6.0, 
29,2.1200 Unit2-Using-Objects/topic-2-11-practice-mixed-code-toggle (6), ,1.0, , , , , , , , , , , , , , , , 
30,2.1300 Unit2-Using-Objects/topic-2-12-practice-coding (17), , ,2.0, , , , , , , ,11.0, , ,11.0, ,5.0,5.0, 
31,2.1400 Unit2-Using-Objects/practice-test-objects (10), , , , , , , , , , , , , , , , , , 
32,2.1500 Unit2-Using-Objects/Exercises (21), , ,11.0, , , , , , , , , , ,11.0, , , ,2.0
33,2.1600 Unit2-Using-Objects/JavaSwingGUIs (0), , , , , , , , , , , , , , , , , , 
34,3.100 Unit3-If-Statements/topic-3-1-booleans (7), , , , , , , , ,6.0, , , , , , , , , 
35,3.200 Unit3-If-Statements/topic-3-2-ifs (6), , ,4.0, , , , , ,5.0, , , , , , , , , 
36,3.300 Unit3-If-Statements/topic-3-3-if-else (7), , ,5.0, , , , , ,6.0, , , , , , , , , 
37,3.400 Unit3-If-Statements/topic-3-4-else-ifs (7), , ,5.0, , , , , ,7.0, ,7.0, , , , , ,6.0, 
38,3.500 Unit3-If-Statements/topic-3-5-compound-ifs (12), , ,10.0, , , , , , , ,12.0, , , , , ,12.0, 
39,3.600 Unit3-If-Statements/topic-3-6-DeMorgan (9), , ,8.0, , , , , , , ,9.0, , , , , ,9.0, 
40,3.700 Unit3-If-Statements/topic-3-7-comparing-objects (10), , , , , , , , , , ,7.0, , , , , ,6.0, 
41,3.800 Unit3-If-Statements/topic-3-8-summary (2), , , , , , , , , , ,2.0, , , , , ,2.0, 
42,3.900 Unit3-If-Statements/topic-3-9-practice-mixed-code (10), , , , , , , , , , ,10.0, , , , , ,10.0, 
43,3.1000 Unit3-If-Statements/topic-3-9-practice-mixed-code-toggle (10), , , , , , , , , , , , , , , , , , 
44,3.1100 Unit3-If-Statements/topic-3-10-practice-coding (20), , , , , , , , , , ,10.0, , , , , ,7.0, 
45,3.1200 Unit3-If-Statements/Exercises (11), , , , , , , , , , ,11.0, , , , , ,11.0, 
46,3.1300 Unit3-If-Statements/magpieindex (0), , , , , , , , , , , , , , , , , , 
47,3.1301 Unit3-If-Statements/magpie1 (0), , , , , , , , , , , , , , , , , , 
48,3.1302 Unit3-If-Statements/magpie2 (3), , , , , , , , , , , , , , , , , , 
49,3.1303 Unit3-If-Statements/magpie3 (3), , , , , , , , , , , , , , , , , , 
50,3.1304 Unit3-If-Statements/magpie4 (1), , , , , , , , , , , , , , , , , , 
51,3.1305 Unit3-If-Statements/magpie-exercises (1), , , , , , , , , , , , , , , , , , 
52,4.100 Unit4-Iteration/topic-4-1-while-loops (8), , , , , , , , , , , , , , , , , , 
53,4.200 Unit4-Iteration/topic-4-2-for-loops (11), , , , , , , , , , ,10.0, , , , , ,6.0, 
54,4.300 Unit4-Iteration/topic-4-3-strings-loops (5), , , , , , , , , , , , , , , , , , 
55,4.400 Unit4-Iteration/topic-4-4-nested-loops (6), , , , , , , , , , ,6.0, , , , , ,6.0, 
56,4.500 Unit4-Iteration/topic-4-5-loop-analysis (9), , , , , , , , , , ,9.0, , , , , , , 
