,sid,timestamp,event,act,div_id,chapter,subchapter
0,2SigmaSteven,2022-02-01 19:53:04.462272,page,view,index.html, , 
1,2SigmaSteven,2022-02-01 19:53:09.000000,admin,index,no params, , 
2,2SigmaSteven,2022-02-01 19:53:09.000000,admin,admin,no params, , 
3,2SigmaSteven,2022-02-01 20:21:04.000000,admin,admin,no params, , 
4,2SigmaSteven,2022-02-01 20:36:05.000000,admin,admin,no params, , 
5,2SigmaSteven,2022-02-01 20:51:08.000000,admin,admin,no params, , 
6,2SigmaSteven,2022-02-01 21:06:10.000000,admin,admin,no params, , 
7,2SigmaSteven,2022-02-01 21:21:11.000000,admin,admin,no params, , 
8,2SigmaSteven,2022-02-01 21:36:14.000000,admin,admin,no params, , 
9,2SigmaSteven,2022-02-01 21:51:16.000000,admin,admin,no params, , 
10,2SigmaSteven,2022-02-01 22:06:17.000000,admin,admin,no params, , 
11,2SigmaSteven,2022-02-01 22:21:19.000000,admin,admin,no params, , 
12,2SigmaSteven,2022-02-01 22:36:20.000000,admin,admin,no params, , 
13,2SigmaSteven,2022-02-01 22:51:23.000000,admin,admin,no params, , 
14,2SigmaSteven,2022-02-01 23:06:24.000000,admin,admin,no params, , 
15,2SigmaSteven,2022-02-01 23:21:25.000000,admin,admin,no params, , 
16,2SigmaSteven,2022-02-01 23:36:27.000000,admin,admin,no params, , 
17,2SigmaSteven,2022-02-01 23:51:29.000000,admin,admin,no params, , 
18,2SigmaSteven,2022-02-02 00:06:31.000000,admin,admin,no params, , 
19,2SigmaSteven,2022-02-02 00:21:33.000000,admin,admin,no params, , 
20,2SigmaSteven,2022-02-02 00:36:35.000000,admin,admin,no params, , 
21,2SigmaSteven,2022-02-02 00:51:37.000000,admin,admin,no params, , 
22,2SigmaSteven,2022-02-02 01:06:38.000000,admin,admin,no params, , 
23,2SigmaSteven,2022-02-02 01:21:40.000000,admin,admin,no params, , 
24,2SigmaSteven,2022-02-02 01:36:42.000000,admin,admin,no params, , 
25,2SigmaSteven,2022-02-02 01:51:44.000000,admin,admin,no params, , 
26,2SigmaSteven,2022-02-02 02:06:45.000000,admin,admin,no params, , 
27,2SigmaSteven,2022-02-02 02:21:48.000000,admin,admin,no params, , 
28,2SigmaSteven,2022-02-02 04:02:20.000000,admin,admin,no params, , 
29,2SigmaSteven,2022-02-02 04:17:23.000000,admin,admin,no params, , 
30,2SigmaSteven,2022-02-02 04:32:25.000000,admin,admin,no params, , 
31,2SigmaSteven,2022-02-02 13:07:33.000000,admin,admin,no params, , 
32,2SigmaSteven,2022-02-02 13:22:37.000000,admin,admin,no params, , 
33,2SigmaSteven,2022-02-02 13:37:39.000000,admin,admin,no params, , 
34,2SigmaSteven,2022-02-02 13:52:41.000000,admin,admin,no params, , 
35,2SigmaSteven,2022-02-02 14:07:43.000000,admin,admin,no params, , 
36,2SigmaSteven,2022-02-02 14:54:54.000000,admin,admin,no params, , 
37,2SigmaSteven,2022-02-02 15:07:56.000000,dashboard,index,chapter=Unit2-Using-Objects, , 
38,2SigmaSteven,2022-02-02 15:09:57.000000,admin,admin,no params, , 
39,2SigmaSteven,2022-02-02 15:12:39.000000,admin,index,no params, , 
40,2SigmaSteven,2022-02-02 15:12:39.000000,admin,admin,no params, , 
41,2SigmaSteven,2022-02-02 15:13:31.000000,admin,doc,no params, , 
42,2SigmaSteven,2022-02-02 15:18:16.000000,admin,admin,no params, , 
43,2SigmaSteven,2022-02-02 15:20:27.000000,admin,courselog,no params, , 
44,2SigmaSteven,2022-02-02 15:20:28.000000,dashboard,grades,no params, , 
